Nationality,ID,letter,text,,
French,hl_01,1,"Dear wife, my two kids and all my family, I will tell you that I have reached Magnac and we are leaving for Paris next Thursday to go to the border of Germany. I will tell you that since Sunday I have not eaten two cents of food when at the moment I have 50,000,000 ideas in my head but anyway I am not sick. I will tell you that we arrested a German spy and I guarantee you that he is not at the end of his sentences. There are three spies who were executed but not in Magnac, very close to Paris. this is the last letter I am writing to you because afterwards I think that I will not be able anymore or if I rewrite it will be when I get to Paris. At the moment, it seems that things are going badly but I will fight to the end for the honor of all, to save you if I can and all my comrades.",,
French,hl_02,2,"I promised you, almost solemnly, to tell you the truth; I will do it, but on the other hand you gave me the assurance that you would have strong nerves and a firm heart. I have been since this morning in conquered trenches for 2 days, all of these trenches and guts forms a real ""labyrinth"", where I wandered 3 hours last night, absolutely lost. The traces of the ardent struggle are numerous and striking; and first of all they are more than half destroyed by the hurricane of grape shot that our artillery threw there, so they are inconvenient and horribly dirty in spite of the urgent repairs which we made there; everything is missing: water (clean or dirty), hoses, latrines; they are less than 200 meters from the 1st enemy line, with which they communicate by sealed guts; they are strewn with French and German corpses; without almost disturbing me I counted 20 frozen in the most macabre attitudes. This neighborhood is not yet foul-smelling, but it still hurts the eyes; this morning, at 5 o'clock, we arrived wet and exhausted, and I entered the first shelter to relax, I noticed a good board, lay down on it, found it soft, but 5 minutes later I noticed that she made a bedstead on 2 German corpses; well, believe me, it still does something, at least the first time. We are cooking loudly all around us and it really is sometimes a din; already I hardly greet any more. The evil is not there; it is especially in the weather which is dreadful; For at least 3 days, gusts of rain have followed showers; the guts are unspeakable quagmires, where one slips, where one gets dreadfully muddy; so I am superlative, at least to the waist; my hands are muddy and will remain so until departure; my shoes are full of water; fortunately the body is dry, for the air is almost cold and the sky livid. Around me people are making a face! It will take a lot of patience and morale.We are wearing the new sheet steel helmet; it is heavy and inconvenient, but it gives serious protection against bursts of fusants and against ricochets, so one carries it without grumbling. We also have a lot of gear against asphyxiating gases. But we will be poorly supplied: only one meal, at night, which will usually arrive cold; and this is explained both by the length of the guts and by the difficulty of traversing a large uncovered area. To this somewhat dark but true picture, two corrective measures should be added; first we will have a defensive role, we are responsible for rehabilitating the very upset sector; then the Germans counter-attacked little, owing to the lack of manpower and the state of their affairs in Champagne. For these 2 reasons, it may very well be that we do not have to look them in the eye; this is also the unanimous wish here. My letter will reach you in the midst of a period of resettlement and worries; I will try to take my part from afar; it will distract me and merge me a little more with you. I wish you calm and courage to triumph over these small difficulties. You know how much I love you and what tender kisses I send you, share with our dear little ones. I absolutely approve of your decision regarding Catherine's kind offer.",,
French,hl_03a,3,"My Daddy, Mom, Little Sister join me in wishing you a happy new year and good health and hugging you with all our heart. Last year , that day, I had the joy of kissing you, but this year, a Cursed Character took this happiness away from me, but having your photograph, I cover it with my tenderest kisses with the firm hope that you will return to us safe and sound this Victory year after having accomplished the most sacred of Duties towards our beloved Fatherland.",,
French,hl_04,4,"Today Saturday, I am writing to let you know that we are still in Magnac at this time. We are not yet all dressed, because in the regiment that we are going to form which is the 90th territorial, we are several classes 95-96-97-98 and 99 ""who is me"" of the youngest. The reserve of active, like us, was made up of several classes. They left around Paris, while we are told that we are leaving on Monday without knowing the direction. Everything remains secret, some say that we are even going to Africa to replace the troops which have returned, others to La Rochelle or to Paris in the forts. It is even said that we are going to harvest in Champagne and that is where we are going to drink good wine. I saw Lucien the same day in the evening that had just arrived. We're pretty much done dressing ... we dressed as we liked, no one told us anything. We lay down in the straw and sleep; then we eat like pigs. We could each go to sleep at home while we wait for the order to leave; Me, I'm in the 12th company. There are still two or three active army reserve classes to return, which will pass us on the way. We are good people and do not have bad blood because if you see us, we hardly worry, we! I am writing to you lying on the grass coming out of a nap. Don't worry and see you soon. ",,
French,hl_05,5,"Dear Mother and Brother, All I recommend to you is to take care of my two children as well as the beloved Margueritte. As long as me, do not count on me anymore because we are going to a butcher's shop human. My last thought for my mother, my wife and my two children as well as all my family whom I once loved so much and will always love as long as I see you from afar. We must hope that one day we will be in the space of the sun. Kiss my little ones very hard for me. At the 338th of Magnac Laval, I will tell you that we are a lot of Saint Junien. If you want to reply, write as soon as you receive my letter. Don't be bored. Bravery. I hope to bring a Prussian helmet. Farewell Long live France.",,
French,hl_06,6,"I am still in good health. I'm not running any risk. Men are still digging trenches and gutters. Since yesterday, we left our bivouac to go to a cantonment closer to the front. We are with artillerymen, hunters on horseback, engineers on foot and hussars. We are much better than in tents. We have to go to rest on June 5th. I find pretty much anything I want; do not send money or parcel to me before I ask you to. The area is still calm; we work all day and only hear a few hits from 75. I want to tell you that the Germans can attack where we are. The unfortunate ones, they are well awaited. You can't imagine everything that has been done since the war such as trenches, machine gun shelters, and gunslingers. As much as it comes, so much will be left. For their part, it may be the same. No more nothing new. Your son who loves you. ",,
French,hl_07,7,"I come to ask you how you are and if you have any news from Louis. I have been isolated for 5 weeks in the middle of dirty and disgusting limousins ​​who treat us as real German prisoners. I lead an idle life and get away from it all. I hope to have the pleasure of returning to the north soon before being designated to leave for the fields because I have number 3 and it could happen at some point to the other. In any case, I cannot regret this region in any way and anywhere I can go, I will be happy to go because here it is really good to wonder if it is still France !!  I'm not complaining about military life at the moment. We could certainly get better, but alas there are much worse too. Please God that we emerge victorious from this terrible hour and that your husband and mine join their homes intact from the struggle. Your devoted cousin. ",,
French,hl_08,8,"My dear adored, I am writing to you on my bag in the trenches, we have been there day and night for 9 days. The Zouaves, the tirailleurs and the blacks have arrived. They tried to move forward by crossing by means of a bridge the canal from Nieggport to Ypres which is in front of us at 5 minutes but the enemy is there at 700m which sends them heavy fire. 17 Zouaves fall and are forced to retreat. I cannot tell you how long we will stay here. Mouhaud de Saingnemousoude was killed in a ombat on October 22, we have 12 dead in the regiment, we were in the 1st line. Eugene Thomas has a cut finger, he is evicted. The dirty boches bombard all the churches especially. I do not see any more newspapers, I do not know how it goes elsewhere, we knew in spite of that the success of the Russian army. I can't wait for them to arrive in Berlin because it's starting to take a long time. I'm still in good health and I think the same is true of you, our friends and all the family. You tell me that you are going to go to the country, maybe you have left. I received your letter on the 29th, I will send the letter to Paris if you are gone, the concierge will do it well if we could not do it. You could stay in Laprugne often, as often as possible. It is claimed that the war will end in Belgium, it is a flat country, but we have been facing the enemy for 10 days and we have not been able to dislodge them. I do not need anything at the moment I have a knit that I have touched with the company. I still have money. When I need something I'll tell you. We drink water when we find it or beer but there is no more. Wine is very rare. It is worth 1 franc 75 a bottle but where the Germans have spent there is nothing left. With money you can have nothing. We are the 1st territorial fire, there must be a question of politics. I don't know if we'll be left there. You will write to me as often as you can. Instead of Magnac Laval you will put military center. I end by hugging you and the whole family with all my heart. If you haven't left, hello friends. The German shells pass over our heads and will explode backwards, a few bullets, from time to time our artillery responds to them. You will have to arrange to receive your allowance in the country, not to give it to them. I wrote my letter yesterday. I will try to make it leave, I will free it at 0 francs 25 you will tell me if it was there because we are still in the trenches, the airplanes pass and are attacked by the German army without touching them. The weather is fine, but it's a funny Halloween. Give me news of your brothers and Gaston. Your father still hasn't answered me. This is not cheerful because we are very poorly supplied, but you have to be courageous, two planes have just shot at each other without hitting each other. It is the first German plane that we see. He fired 15 cannon shots without being hit. ",,
French,hl_09,9,"Dear parents, I arrived in Croissy it was around 7 a.m. planes. It made a terrible thunderstorm and there was plenty of water falling without being able to find any shelter. It didn't last long but the short time it got us wet anyway. However, we had some dry effects to change us. Today, it did not rain, on the contrary, the weather was fine. We are fairly well quartered. We have straw in suufisance and I believe that we will stay there. Goodbye dear parents.",,
French,hl_10,10,"My dear Ginette, I am writing to tell you that I have known death up close that night, but now everything is fine. I have seen my whole life pass before my eyes. Due to shellfire in my trench, the alcove where I slept collapsed, two of my comrades died in the collapse. I got a beam on my leg, my leg got infected and the doctors had to cut my leg off. Now I don't risk anything anymore because they transferred me outside the combat zone. I can tell you that I am happy to have left this hell with the rats, the lice, the crabs, the mud, the macabés, the artillery fire of all kinds. Even if I told you in my previous letters, it's horrible here, the smell of his comrades who have been dead for three days. But despite all this misfortune and all this hatred, I keep thinking of you, you Ginette. You light up my heart like the sun rising on the battlefield still smoking from the shells of the day before.",,
